PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39676109,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,438.1447856426239,0.3285341063758571,0.2570772058390075,0.26150963434786856,240.0,29.0,Early stopping due to no improvement (AdaptiveES).,1.82560389538606,99.7125
39676110,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,16.0,0.0,0.0,1257.8778851032257,0.3285341063758571,0.24229199664906304,0.2514888408320298,440.0,239.0,Early stopping due to no improvement (AdaptiveES).,2.8588142709298565,99.825
39676111,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,1284.7141642570496,0.3285341063758571,0.24723595844907187,0.2616300346084019,450.0,249.0,Early stopping due to no improvement (AdaptiveES).,2.8549209287431503,99.88444444444444
39676112,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,1259.0795767307281,0.3285341063758571,0.23976108728407508,0.24995950603622147,440.0,239.0,Early stopping due to no improvement (AdaptiveES).,2.861545356837186,99.86363636363636
39676113,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,32.0,0.0,0.0,1402.2323088645935,0.3285341063758571,0.2379806096003807,0.2426349326232555,250.0,39.0,Early stopping due to no improvement (AdaptiveES).,5.608930572509766,99.704
39676114,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,32.0,0.0001,0.0,1402.1937708854675,0.3285341063758571,0.23757464278753732,0.25434651141240916,250.0,39.0,Early stopping due to no improvement (AdaptiveES).,5.608776117324829,99.692
39676115,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-05,32.0,0.0015,0.0,1402.5144543647766,0.3285341063758571,0.23835507827217017,0.2569189234511489,250.0,39.0,Early stopping due to no improvement (AdaptiveES).,5.610058735847473,99.696
39676116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39676117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39676118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39676119,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,2.0,0.0,0.0,400.2383875846863,0.3285341063758571,0.2697560565530773,0.27072581601208523,420.0,209.0,Early stopping due to no improvement (AdaptiveES).,0.9529494489942278,94.08809523809524
