PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638977,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,4,0.0015,0.0,91.0531895160675,0.2601172420819943,0.2458712015083602,0.24730581710632576,230,29,Early stopping due to no improvement (AdaptiveES).,0.3958848901416944,21.48695652173913
39638978,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,8,0.0,0.0,116.49284362792969,0.2601172420819943,0.24549780213239739,0.2600728670311498,300,99,Early stopping due to no improvement (AdaptiveES).,0.3883099722862244,33.483333333333334
39638979,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,8,0.0001,0.0,118.06805801391602,0.2601172420819943,0.24613645958833438,0.25567990884085623,290,89,Early stopping due to no improvement (AdaptiveES).,0.4071317195892334,34.58275862068965
39638980,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,8,0.0015,0.0,111.83877635002136,0.2601172420819943,0.2465950424423467,0.25225184600379663,280,79,Early stopping due to no improvement (AdaptiveES).,0.3994251183101109,33.43928571428572
39638981,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,16,0.0,0.0,106.94117903709412,0.2601172420819943,0.23969476256047723,0.25428959637475096,260,59,Early stopping due to no improvement (AdaptiveES).,0.41131274241667526,55.58076923076923
39638982,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,16,0.0001,0.0,130.75092148780823,0.2601172420819943,0.2382042809274348,0.26022818972666595,330,119,Early stopping due to no improvement (AdaptiveES).,0.39621595324891984,55.86060606060606
39638983,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,16,0.0015,0.0,107.78291082382202,0.2601172420819943,0.23928258370051445,0.2569193503691395,270,59,Early stopping due to no improvement (AdaptiveES).,0.39919652055811,56.99629629629629
39638984,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,32,0.0,0.0,125.44209480285645,0.2601172420819943,0.23889499647772514,0.2632484561335318,280,79,Early stopping due to no improvement (AdaptiveES).,0.44800880040441243,76.29642857142858
39638985,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,32,0.0001,0.0,133.14078283309937,0.2601172420819943,0.23935816569334722,0.263981881387252,290,79,Early stopping due to no improvement (AdaptiveES).,0.4591066861974782,76.23793103448276
39638986,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,32,0.0015,0.0,130.41914772987366,0.2601172420819943,0.24041861602144993,0.26634610946507564,280,79,Early stopping due to no improvement (AdaptiveES).,0.46578406265803746,75.61071428571428
