PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39639173,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,8.0,0.0001,0.0,2412.134862422943,0.30192833984611744,0.21752998759589567,0.21837261691278206,1111.0,949.0,Early stopping due no time.,2.171138969656586,99.95319531953196
39639174,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,8.0,0.0015,0.0,2410.4211423397064,0.30192833984611744,0.21834375620261265,0.21906419000932068,1110.0,929.0,Early stopping due no time.,2.1715510765711468,99.94144144144144
39639175,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,16.0,0.0,0.0,2416.8478837013245,0.30192833984611744,0.22211856980396305,0.2222768376143614,620.0,609.0,Early stopping due no time.,3.898142432781958,99.91935483870968
39639176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639177,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,16.0,0.0015,0.0,2417.1058559417725,0.30192833984611744,0.22328876451665544,0.22348257598698146,620.0,589.0,Early stopping due no time.,3.8985585551108084,99.90806451612903
39639178,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,32.0,0.0,0.0,2417.6291694641113,0.30192833984611744,0.2228297018000005,0.2228297018000005,300.0,299.0,Early stopping due no time.,8.058764808972677,99.82
39639179,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,32.0,0.0001,0.0,2418.0268857479095,0.30192833984611744,0.2229514722778861,0.2229514722778861,300.0,299.0,Early stopping due no time.,8.060090192159016,99.79333333333334
39639180,M_DENSE/H,48.0,600.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,electricity/D,30.0,1840.0,1.0,monash_australian_electricity,48.0,100.0,1.0,exchange_rate,30.0,160.0,1.0,2400.0,5e-06,32.0,0.0015,0.0,2418.9331924915314,0.30192833984611744,0.22271055820983066,0.22271055820983066,300.0,299.0,Early stopping due no time.,8.06311133702596,99.8
39639181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39639183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
