PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638147,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,16,0.0015,0.0,252.86215782165527,0.38732843924593524,0.34256913062969513,0.3471516913250489,350,139,Early stopping due to no improvement (AdaptiveES).,0.7224643489292689,96.49142857142857
39638148,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,32,0.0,0.0,531.126487493515,0.38732843924593524,0.3326622955376643,0.33611732862136784,470,259,Early stopping due to no improvement (AdaptiveES).,1.130057240547018,98.77659574468085
39638149,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,32,0.0001,0.0,513.7538013458252,0.38732843924593524,0.33299635791220406,0.34091763247281576,450,249,Early stopping due to no improvement (AdaptiveES).,1.1416757737265693,98.83777777777777
39638150,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,32,0.0015,0.0,432.638920545578,0.38732843924593524,0.33641451379267856,0.3454018123927048,380,169,Early stopping due to no improvement (AdaptiveES).,1.138524485889234,98.70263157894736
39638151,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,64,0.0,0.0,619.5610132217407,0.38732843924593524,0.34441307284607514,0.35834459577300776,320,109,Early stopping due to no improvement (AdaptiveES).,1.9361287236213685,99.7125
39638152,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,64,0.0001,0.0,579.6579937934875,0.38732843924593524,0.3407193130789852,0.35371786309212017,300,99,Early stopping due to no improvement (AdaptiveES).,1.9321946454048158,99.69333333333333
39638153,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-05,64,0.0015,0.0,614.2584314346313,0.38732843924593524,0.3446994511404814,0.3550854179317896,320,109,Early stopping due to no improvement (AdaptiveES).,1.9195580892264843,99.7125
39638154,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,2,0.0,0.0,500.2942416667938,0.38732843924593524,0.34536545269480207,0.3457757073087379,1480,1219,Early stopping due to no improvement (AdaptiveES).,0.33803709101032564,54.06283783783784
39638155,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,2,0.0001,0.0,523.5393233299255,0.38732843924593524,0.3443951360778907,0.3444904182221475,1560,1289,Early stopping due to no improvement (AdaptiveES).,0.3356025082942767,54.238461538461536
39638156,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,2,0.0015,0.0,358.30670285224915,0.38732843924593524,0.3439937291889573,0.3441774471949589,1060,849,Early stopping due to no improvement (AdaptiveES).,0.33802572938631165,54.1
