PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Dataset_10,Forecast Horizon_10,TS Amount_10,Windows_10,Dataset_11,Forecast Horizon_11,TS Amount_11,Windows_11,Dataset_12,Forecast Horizon_12,TS Amount_12,Windows_12,Dataset_13,Forecast Horizon_13,TS Amount_13,Windows_13,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39673108,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,2.0,0.0015,0.0,2408.377182006836,0.362410051070177,0.326530353190633,0.33466260429644956,129.0,89.0,Early stopping due no time.,18.669592363889826,39.2093023255814
39673109,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,4.0,0.0,0.0,2374.272413253784,0.362410051070177,0.33791759914598324,0.33791759914598324,67.0,59.0,Early stopping due no time.,35.43690247322196,46.343283582089555
39673110,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,4.0,0.0001,0.0,2380.525026321411,0.362410051070177,0.33812300070223483,0.33812300070223483,66.0,59.0,Early stopping due no time.,36.06856177431165,46.57575757575758
39673111,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,4.0,0.0015,0.0,2372.14853310585,0.362410051070177,0.33780358348450845,0.33780358348450845,67.0,59.0,Early stopping due no time.,35.405202726819624,47.014925373134325
39673112,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,8.0,0.0,0.0,2346.485342025757,0.362410051070177,0.34229854668017784,0.3448916735986597,35.0,19.0,Early stopping due no time.,67.04243950162615,46.91428571428571
39673113,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,8.0,0.0001,0.0,2375.0529687404633,0.362410051070177,0.3422672585398581,0.34417961037322004,35.0,19.0,Early stopping due no time.,67.85865745544433,48.714285714285715
39673114,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,8.0,0.0015,0.0,2378.8858926296234,0.362410051070177,0.3428817163153919,0.34374484945637945,35.0,19.0,Early stopping due no time.,67.96816955975123,48.65714285714286
39673115,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,16.0,0.0,0.0,2287.6001183986664,0.362410051070177,0.34634232078762067,0.34634232078762067,20.0,19.0,Early stopping due no time.,114.38000776767731,49.6
39673116,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,16.0,0.0001,0.0,2646.8770060539246,0.362410051070177,0.3460419927787319,0.3460419927787319,25.0,19.0,Early stopping due no time.,105.87508191108704,47.2
39673117,SZ_TAXI/H,48.0,312.0,1.0,electricity/H,48.0,7380.0,1.0,electricity/W,8.0,1104.0,1.0,LOOP_SEATTLE/D,30.0,646.0,1.0,hospital,12.0,767.0,1.0,solar/W,8.0,137.0,1.0,us_births/D,30.0,20.0,1.0,M_DENSE/D,30.0,90.0,1.0,covid_deaths,30.0,226.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,saugeenday/W,8.0,20.0,1.0,2400.0,5e-05,16.0,0.0015,0.0,2291.3595519065857,0.362410051070177,0.3464658019371933,0.3464658019371933,22.0,19.0,Early stopping due no time.,104.15270857377486,45.63636363636363
